,3d%,3d%_allowed,TOP,date,first_downs,first_downs_allowed,margin,opp,pass_yards,pass_yards_allowed,penalty_yards,plays,points,points_allowed,result,rush_yards,rush_yards_allowed,sacked,sacks,takeaways,team,total_points,total_yards,total_yards_allowed,turnovers
100,0.4666666666666667,0.38461538461538464,35.483333333333334,10/01/2017,22,18,17,BaltimoreBal,208,206,60,73,26,9,Win,173,82,1,4,3,PittsburghPit,35,381,288,1
101,0.38461538461538464,0.4666666666666667,24.516666666666666,10/01/2017,18,22,-17,PittsburghPit,206,208,55,68,9,26,Loss,82,173,4,1,1,BaltimoreBal,35,288,381,3
102,0.6666666666666666,0.5,28.883333333333333,10/01/2017,28,24,3,New EnglandNE,304,293,33,60,33,30,Win,140,80,2,3,0,CarolinaCar,63,444,373,2
103,0.5,0.6666666666666666,31.116666666666667,10/01/2017,24,28,-3,CarolinaCar,293,304,55,67,30,33,Loss,80,140,3,2,2,New EnglandNE,63,373,444,0
104,0.5454545454545454,0.3125,35.03333333333333,10/01/2017,25,16,24,ClevelandCle,264,170,66,63,31,7,Win,86,45,3,2,1,CincinnatiCin,38,350,215,1
105,0.3125,0.5454545454545454,24.966666666666665,10/01/2017,16,25,-24,CincinnatiCin,170,264,28,61,7,31,Loss,45,86,2,3,1,ClevelandCle,38,215,350,1
106,0.38461538461538464,0.5,30.533333333333335,10/01/2017,24,22,5,DallasDal,244,251,41,68,35,30,Win,168,189,1,2,2,LA RamsLA,65,412,440,0
107,0.5,0.38461538461538464,29.466666666666665,10/01/2017,22,24,-5,LA RamsLA,251,244,45,65,30,35,Loss,189,168,2,1,0,DallasDal,65,440,412,2
108,0.23076923076923078,0.3,36.45,10/01/2017,19,15,7,MinnesotaMin,154,197,60,68,14,7,Win,97,87,6,2,3,DetroitDet,21,251,284,0
109,0.3,0.23076923076923078,23.55,10/01/2017,15,19,-7,DetroitDet,197,154,10,54,7,14,Loss,87,97,2,6,0,MinnesotaMin,21,284,251,3
110,0.25,0.5,20.316666666666666,10/01/2017,9,33,-43,HoustonHou,109,272,88,41,14,57,Loss,86,173,2,2,1,TennesseeTen,71,195,445,5
111,0.5,0.25,39.68333333333333,10/01/2017,33,9,43,TennesseeTen,272,109,20,78,57,14,Win,173,86,2,2,5,HoustonHou,71,445,195,1
112,0.26666666666666666,0.35294117647058826,35.13333333333333,10/01/2017,20,18,-3,NY JetsNYJ,136,215,47,75,0,3,Loss,175,256,1,5,2,JacksonvilleJax,3,311,471,1
113,0.35294117647058826,0.26666666666666666,34.4,10/01/2017,18,20,3,JacksonvilleJax,215,136,70,69,3,0,Win,256,175,5,1,1,NY JetsNYJ,3,471,311,2
114,0.2631578947368421,0.3125,33.21666666666667,10/01/2017,20,25,-3,ArizonaAri,210,317,113,79,3,6,Loss,95,51,3,6,1,San FranciscoSF,9,305,368,1
115,0.3125,0.2631578947368421,36.25,10/01/2017,25,20,3,San FranciscoSF,317,210,80,79,6,3,Win,51,95,6,3,1,ArizonaAri,9,368,305,1
116,0.5625,0.5,39.3,10/01/2017,26,18,2,LA ChargersLAC,240,342,58,74,26,24,Win,214,58,1,2,1,PhiladelphiaPhi,50,454,400,0
117,0.5,0.5625,20.7,10/01/2017,18,26,-2,PhiladelphiaPhi,342,240,39,53,24,26,Loss,58,214,2,1,0,LA ChargersLAC,50,400,454,1
118,0.47058823529411764,0.2727272727272727,34.21666666666667,10/01/2017,24,20,-2,Tampa BayTB,288,323,0,77,23,25,Loss,91,111,0,1,0,NY GiantsNYG,48,379,434,0
119,0.2727272727272727,0.47058823529411764,25.783333333333335,10/01/2017,20,24,2,NY GiantsNYG,323,288,19,62,25,23,Win,111,91,1,0,0,Tampa BayTB,48,434,379,0
120,0.16666666666666666,0.3125,27.05,10/01/2017,11,16,-6,DenverDen,230,155,75,53,10,16,Loss,24,143,3,4,0,OaklandOak,26,254,298,1
121,0.3125,0.16666666666666666,32.95,10/01/2017,16,11,6,OaklandOak,155,230,40,62,16,10,Win,143,24,4,3,1,DenverDen,26,298,254,0
122,0.42857142857142855,0.6666666666666666,27.8,10/01/2017,16,22,-28,SeattleSea,139,283,31,57,18,46,Loss,98,194,3,3,2,IndianapolisInd,64,237,477,2
123,0.6666666666666666,0.42857142857142855,32.2,10/01/2017,22,16,28,IndianapolisInd,283,139,45,62,46,18,Win,194,98,3,3,2,SeattleSea,64,477,237,2
124,0.36363636363636365,0.6153846153846154,22.85,10/02/2017,15,29,-9,Kansas CityKC,220,261,44,50,20,29,Loss,111,168,0,4,0,WashingtonWas,49,331,429,1
125,0.6153846153846154,0.36363636363636365,37.15,10/02/2017,29,15,9,WashingtonWas,261,220,15,72,29,20,Win,168,111,4,0,1,Kansas CityKC,49,429,331,0
126,0.3333333333333333,0.3076923076923077,30.833333333333332,10/05/2017,23,26,5,Tampa BayTB,289,319,108,66,19,14,Win,113,90,3,2,0,New EnglandNE,33,402,409,2
127,0.3076923076923077,0.3333333333333333,29.166666666666668,10/05/2017,26,23,-5,New EnglandNE,319,289,70,68,14,19,Loss,90,113,2,3,2,Tampa BayTB,33,409,402,0
128,0.2857142857142857,0.6428571428571429,24.216666666666665,10/08/2017,16,19,-27,PhiladelphiaPhi,276,297,61,60,7,34,Loss,31,122,2,1,1,ArizonaAri,41,307,419,1
129,0.6428571428571429,0.2857142857142857,35.78333333333333,10/08/2017,19,16,27,ArizonaAri,297,276,60,64,34,7,Win,122,31,1,2,1,PhiladelphiaPhi,41,419,307,1
130,0.3333333333333333,0.4,29.983333333333334,10/08/2017,17,18,-4,CincinnatiCin,139,323,71,67,16,20,Loss,82,65,6,1,3,BuffaloBuf,36,221,388,1
131,0.4,0.3333333333333333,30.016666666666666,10/08/2017,18,17,4,BuffaloBuf,323,139,71,64,20,16,Win,65,82,1,6,1,CincinnatiCin,36,388,221,3
132,0.4375,0.38461538461538464,35.38333333333333,10/08/2017,16,19,3,DetroitDet,334,192,100,64,27,24,Win,28,50,3,6,1,CarolinaCar,51,362,242,0
133,0.38461538461538464,0.4375,24.616666666666667,10/08/2017,19,16,-3,CarolinaCar,192,334,10,56,24,27,Loss,50,28,6,3,0,DetroitDet,51,242,362,1
134,0.3333333333333333,0.42857142857142855,25.566666666666666,10/08/2017,14,22,3,ClevelandCle,178,279,80,51,17,14,Win,34,140,3,1,3,NY JetsNYJ,31,212,419,1
135,0.42857142857142855,0.3333333333333333,34.43333333333333,10/08/2017,22,14,-3,NY JetsNYJ,279,178,60,70,14,17,Loss,140,34,1,3,1,ClevelandCle,31,419,212,3
136,0.2857142857142857,0.5,31.083333333333332,10/08/2017,23,25,-3,IndianapolisInd,336,288,77,70,0,3,Loss,66,159,2,4,1,San FranciscoSF,3,402,447,0
137,0.5,0.2857142857142857,37.28333333333333,10/08/2017,25,23,3,San FranciscoSF,288,336,62,73,3,0,Win,159,66,4,2,0,IndianapolisInd,3,447,402,1
138,0.5,0.4666666666666667,28.866666666666667,10/08/2017,15,21,21,PittsburghPit,82,301,19,53,30,9,Win,231,70,2,2,5,JacksonvilleJax,39,313,371,1
139,0.4666666666666667,0.5,31.133333333333333,10/08/2017,21,15,-21,JacksonvilleJax,301,82,37,77,9,30,Loss,70,231,2,2,1,PittsburghPit,39,371,313,5
140,0.4444444444444444,0.3333333333333333,31.75,10/08/2017,21,18,5,NY GiantsNYG,258,183,87,73,27,22,Win,124,152,0,5,2,LA ChargersLAC,49,382,335,1
141,0.3333333333333333,0.4444444444444444,28.25,10/08/2017,18,21,-5,LA ChargersLAC,183,258,67,66,22,27,Loss,152,124,5,0,1,NY GiantsNYG,49,335,382,2
142,0.15384615384615385,0.3333333333333333,30.25,10/08/2017,14,12,-6,MiamiMia,119,78,77,58,10,16,Loss,69,100,6,1,2,TennesseeTen,26,188,178,2
143,0.3333333333333333,0.15384615384615385,29.75,10/08/2017,12,14,6,TennesseeTen,78,119,23,59,16,10,Win,100,69,1,6,2,MiamiMia,26,178,188,2
144,0.5,0.5,33.71666666666667,10/08/2017,19,15,13,OaklandOak,222,137,5,65,30,17,Win,143,108,0,3,1,BaltimoreBal,47,365,245,0
145,0.5,0.5,26.283333333333335,10/08/2017,15,19,-13,BaltimoreBal,137,222,24,54,17,30,Loss,108,143,3,0,0,OaklandOak,47,245,365,1
146,0.47058823529411764,0.5333333333333333,31.266666666666666,10/08/2017,15,21,6,LA RamsLA,179,275,40,66,16,10,Win,62,100,3,2,5,SeattleSea,26,241,375,2
147,0.5333333333333333,0.47058823529411764,28.733333333333334,10/08/2017,21,15,-6,SeattleSea,275,179,45,71,10,16,Loss,100,62,2,3,2,LA RamsLA,26,375,241,5
148,0.42857142857142855,0.5833333333333334,24.9,10/08/2017,25,26,4,DallasDal,182,245,38,58,35,31,Win,160,163,4,1,3,Green BayGB,66,342,408,1
149,0.5833333333333334,0.42857142857142855,35.1,10/08/2017,26,25,-4,Green BayGB,245,182,70,72,31,35,Loss,163,160,1,4,1,DallasDal,66,408,342,3
